id,vc,lc,dc,fc,cc
436,4277,14,1,0,2
437,10576,53,2,0,14
438,89348,166,20,0,6
439,236966,673,24,0,49
440,1764003,2169,76,0,912
441,8910,75,3,0,7
442,16429,41,0,0,2
443,1235795,1542,80,0,302
444,4820,21,3,0,2
445,4290,16,0,0,0
446,193572,293,10,0,50
447,300,100,6,9,6
448,135260,177,13,0,83
449,496968,1264,31,0,86
450,2207,12,1,0,2
451,79427,218,16,0,20
452,59019,129,9,0,18
453,1211,14,1,0,2
454,1538618,717,367,0,11
455,5626,21,1,0,6
456,38485,175,37,0,87
457,11192,11,0,0,4
458,13132,230,2,0,27
459,1247459,2460,94,0,782
460,478498,771,33,0,156
461,199129,243,24,0,36
462,15697,25,1,0,0
463,4980,9,0,0,0
464,2608,2,0,0,0
465,27799,48,2,0,5
466,134909,161,18,0,30
467,13359,17,1,0,5
468,1134,1,0,0,0
469,28649,66,2,0,5
470,5638,25,1,0,6
471,12933,28,0,0,9
472,57801,222,4,0,31
473,635322,563,78,0,58
474,84721,179,9,0,5
475,29471,30,0,0,5
476,61710,127,6,0,4
477,879118,252,98,0,25
478,31743,8,3,0,2
479,77680,61,5,0,3
480,16974,116,3,0,9
481,72842,135,7,0,17
482,47027,117,8,0,4
483,22074,181,5,0,23
484,114357,362,11,0,43
485,28626,295,6,0,9
486,48228,316,10,0,25
487,11147,6,2,0,2
488,49742,154,3,0,8
489,22858,41,1,0,4
490,46922,67,8,0,4
491,147412,158,22,0,29
492,328059,470,27,0,63
493,1275443,1975,61,0,807
494,11397,113,2,0,8
495,79889,108,3,0,26
496,37548,46,9,0,4
497,59019,56,4,0,4
498,75738,264,2,0,21
499,30744,387,9,0,11
500,73158,575,13,0,65
501,2332,6,0,0,1
502,8578,108,2,0,11
503,107165,210,18,0,28
504,164831,630,25,0,18
505,22356,119,1,0,20
506,20074,105,3,0,12
507,99739,415,11,0,34
508,7692,16,0,0,0
509,105335,231,10,0,8
510,20381,150,0,0,8
511,31826,80,9,0,5
512,37272,39,5,0,7
513,250924,883,22,0,32
514,213191,332,14,0,63
515,67588,106,7,0,7
516,147428,394,12,0,28
517,287628,328,10,0,68
518,17868,109,2,0,21
519,8851,70,2,0,14
520,54153,127,5,0,10
521,167861,361,17,0,24
522,123605,230,19,0,15
523,18443,52,3,0,9
524,440910,946,25,0,84
525,75449,382,10,0,27
526,15167,5,1,0,0
527,13442,28,1,0,3
528,23327,97,3,0,10
529,2402,9,0,0,0
530,227673,61,30,0,2
531,2950,1,0,0,2
532,69137,166,2,0,16
533,1192,8,0,0,0
534,82236,143,15,0,29
535,17384,52,0,0,9
536,39779,29,11,0,4
537,5011,13,0,0,0
538,5444,14,0,0,2
539,11971,42,2,0,0
540,6210,17,1,0,2
541,78518,380,13,0,40
542,7496,63,0,0,10
543,10484,48,0,0,1
544,68503,235,6,0,11
545,3154,20,0,0,3
546,11953,30,0,0,2
547,2870023,4019,232,0,1602
548,7176,13,0,0,0
549,374372,197,13,0,107
550,281385,202,17,0,37
551,27000,131,2,0,2
552,57624,96,3,0,16
553,5082,20,0,0,1
554,8751,43,4,0,9
555,4750,14,0,0,0
556,6373,29,0,0,3
557,3946,15,0,0,0
558,111056,210,16,0,10
559,58184,115,6,0,19
560,24601,45,1,0,7
561,40427,114,9,0,12
562,23718,54,2,0,1
563,77065,103,3,0,12
564,188898,333,15,0,30
565,160016,283,20,0,51
566,2656,11,0,0,6
567,9178,14,1,0,3
568,72031,145,6,0,23
569,41042,43,6,0,1
570,2770,7,1,0,0
571,12659,24,0,0,7
572,41231,115,1,0,2
573,4398,15,1,0,1
574,225006,608,32,0,92
575,1296,7,0,0,2
576,10869,23,0,0,2
577,12483,63,4,0,2
578,107122,112,10,0,28
579,9874,40,2,0,2
